深圳体育健康,http://www.szmgiptv.com:14436/hls/10.m3u8
深圳电视剧,http://www.szmgiptv.com:14436/hls/11.m3u8
深圳少儿,http://www.szmgiptv.com:14436/hls/21.m3u8
深圳娱乐,http://www.szmgiptv.com:14436/hls/22.m3u8
深圳财经生活,http://www.szmgiptv.com:14436/hls/24.m3u8

乐视电影720P,http://live.g3proxy.lecloud.com/gslb?stream_id=lb_movie_720p&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1012&format=letv&expect=1
香港电影,http://live.g3proxy.lecloud.com/gslb?stream_id=lb_hkmovie_720p&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1012&format=letv&expect=1
好莱坞高清,http://live.g3proxy.lecloud.com/gslb?stream_id=lb_hlw_1800&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=1
喜剧电影,http://live.g3proxy.lecloud.com/gslb?stream_id=lb_comedy_720p&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=1
华语电影,http://live.g3proxy.lecloud.com/gslb?stream_id=lb_hydy_1800&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=1
日韩电影,http://live.g3proxy.lecloud.com/gslb?stream_id=lb_rhdy_1800&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=1
粤语音乐,http://live.g3proxy.lecloud.com/gslb?stream_id=lb_yyyy_1800&tag=live&ext=m3u8&sign=live_tv&platid=10&splatid=1009&format=letv&expect=1

now直播,http://hk.sixu.life/now.m3u8?id=331

飞仔猪TV196886006,p2p://23.237.2.218:10028/526a44770009f650c705febe08234241
翡翠台,p2p://23.237.2.218:10028/52af86990005961fc8e84d161b5932cc
J5,p2p://23.237.2.218:10028/524c838b0003697552cc6328402b79ab
互動新聞台,p2p://23.237.2.218:10028/52af87ec000ae323c8ed7aab00b6401c
J2,p2p://23.237.2.218:10028/52af87a30006f462c8ec5c8149bd1729
明珠台,p2p://23.237.2.218:10028/52af87d4000e1749c8ed1dbc1b313af7
Viutv,p2p://23.237.2.218:10028/526a44770009f650c705febe08234241
BBC,p2p://23.237.2.218:10028/525da37a00095cde95b122510ca76845
CNN,p2p://23.237.2.218:10028/5391ed59000769841bcd2db934a93f29
HKC财经资讯台,p2p://23.237.2.218:10028/52bad78600082464f51c6b86633b7200
三立都會台,p2p://23.237.2.218:10028/5391ef5000070c181bd4da7b3ea05b05
美食,p2p://23.237.2.218:10028/5391e3f1000626bf1ba86f2b50337701
美亞電影台,p2p://23.237.2.218:10028/524a89b30007791e4b14707835c233d1
星衛HD電影台,p2p://23.237.2.218:10028/524a89cc000719f94b14d2083cd55b91
